fid,muni_id,muni,is_housing,only_single_family,%_single_family,is_MBTA_community,pop,male,female,pop_u18,pop_18_64,pop_65o,nhwhi,nhaa,nhna,nhas,nhpi,nhoth,nhmlt,lat,fhh,fhh2,fhh3,fhh4,fhh5,fhh6,fhh7o,nfhh,nfhh1,nfhh2,nfhh3,nfhh4,nfhh5,nfhh6,nfhh7o,hh,incu10,inc1015,inc1520,inc2025,inc2530,inc3035,inc3540,inc4045,inc4550,inc5060,inc6075,i7599,i100125,i125150,i150200,in200o
"11",198,Natick,"1","0",92.6628460685157,"1","7462","3549","3913","1250","5441","771","5659","245","14","943","2","91","175","333","1712","812","484","305","84","19","8","2009","1636","318","39","13","1","2","0","2700","87","62","41","80","112","123","75","115","56","343","244","300","343","203","216","300"
"12",208,Norfolk,"1","0",0,"1","8977","4514","4463","2580","5520","877","8618","60","6","119","0","5","71","98","2552","910","583","656","309","70","24","493","378","101","9","2","2","0","1","3149","49","20","61","20","67","47","15","30","81","103","162","271","374","333","443","1073"
"13",23,Bedford,"1","0",0,"1","12606","6273","6333","3003","7157","2446","10728","239","17","1139","1","9","195","278","3476","1475","792","842","265","75","27","1332","1169","139","12","6","4","0","2","5230","112","107","58","72","75","123","88","147","114","248","337","677","351","410","644","1667"
"14",264,Scituate,"1","0",0,"1","18133","8689","9444","4560","10459","3114","17277","98","13","132","7","198","217","191","4926","2035","1049","1064","538","177","63","1933","1675","225","19","10","4","0","0","7146","178","361","255","75","186","134","179","168","137","339","320","770","608","724","793","1919"
"15",284,Stoneham,"1","0",0,"1","21292","10077","11215","4227","13123","3942","19279","327","15","723","4","83","228","633","5586","2363","1360","1206","470","126","61","3322","2823","465","26","7","1","0","0","9241","341","358","163","178","291","233","327","412","249","464","671","1270","1042","842","986","1414"
"16",285,Stoughton,"1","0",87.6513548739784,"1","9159","4399","4760","1797","5910","1452","7070","1019","18","261","1","204","219","367","2342","1033","573","467","163","69","37","1597","1309","244","35","7","2","0","0","4292","224","209","162","160","233","200","182","207","226","254","446","646","405","244","255","239"
"17",2,Acton,"1","0",3.39519044960655,"1","21137","10425","10712","6097","12892","2148","15989","230","13","3879","3","156","326","541","5761","1961","1434","1655","568","117","26","2043","1716","295","19","10","3","0","0","8628","213","339","165","131","175","121","148","118","119","366","445","689","723","1059","1116","2701"
"18",305,Wakefield,"1","0",1.35775662730308,"1","24310","11682","12628","5220","15497","3593","22610","208","21","641","0","26","240","564","6376","2599","1555","1397","602","171","52","3399","2776","529","67","16","8","0","3","10131","347","258","296","283","210","303","296","283","265","645","949","1162","1164","942","1184","1544"
"19",307,Walpole,"1","0",90.5154437846051,"1","5684","2696","2988","1236","3360","1088","5186","116","2","178","0","18","39","145","1453","666","326","278","133","35","15","1088","933","130","17","4","4","0","0","1350","0","98","37","49","78","30","34","47","54","84","178","152","121","64","108","216"
"20",315,Wayland,"1","0",0,"1","12858","6213","6645","3525","7259","2074","10950","101","4","1280","2","21","185","315","3632","1401","835","906","369","103","18","1105","949","135","13","4","2","2","0","4943","129","75","122","62","81","83","76","56","63","64","267","318","409","425","562","2151"
"21",30,Beverly,"1","0",28.5679848284158,"1","23743","11207","12536","4368","16340","3035","21207","443","32","479","19","152","348","1063","5180","2246","1334","1007","431","113","49","4312","3344","753","127","63","15","4","6","12272","532","778","605","584","493","474","327","420","446","695","839","1533","956","989","1057","1544"
"22",67,Concord,"1","0",0,"1","16546","7845","8701","3986","9019","3541","15009","224","7","701","0","30","211","364","4490","1977","998","999","378","112","26","1994","1763","210","13","4","1","2","1","6751","230","137","41","123","105","102","111","81","109","388","345","489","627","668","890","2305"
"23",317,Wellesley,"1","0",84.0042266891497,"1","5324","1642","3682","399","4425","500","3356","370","12","961","1","17","182","425","447","252","68","84","29","9","5","440","389","44","5","2","0","0","0","221","19","0","0","0","0","0","0","0","0","9","0","0","29","12","9","143"
"24",344,Winchester,"1","0",79.8977493230552,"1","6716","3162","3554","1660","3939","1117","5187","142","5","1022","1","19","180","160","1698","621","418","468","132","43","16","984","877","94","7","6","0","0","0","2642","29","107","78","67","49","98","89","58","43","204","210","187","273","225","365","560"
"25",40,Braintree,"1","0",0,"1","35710","16855","18855","8160","21481","6069","30447","911","46","2687","10","237","484","888","9206","3496","2267","1973","1001","325","144","4520","3756","673","57","21","11","1","1","14074","533","375","450","468","471","349","352","311","491","583","999","2022","1422","1523","1665","2060"
"26",46,Brookline,"1","0",69.4747089270653,"1","45251","20061","25190","7203","32698","5350","32494","1386","34","7555","12","142","1212","2416","9122","4297","2326","1767","547","131","54","11320","7454","2202","972","520","131","26","15","19057","1382","694","377","301","304","626","521","366","362","777","1421","2080","1798","1923","2280","3845"
"27",49,Cambridge,"1","0",0,"1","105170","51114","54056","12029","83152","9989","65272","11589","159","15820","31","575","3757","7967","17421","9085","4348","2592","950","283","163","26616","17934","6231","1686","590","119","40","16","46184","3414","1901","1369","1313","1277","1282","1197","1187","889","1945","3179","5034","4739","3624","5218","8616"
"28",50,Canton,"1","0",0,"1","21377","10113","11264","5064","12796","3517","17777","1295","17","1312","1","80","300","595","5696","2212","1397","1310","542","179","56","2662","2258","359","31","9","4","1","0","9021","312","373","203","158","187","172","68","260","153","372","888","1171","911","755","1107","1931"
"29",144,Ipswich,"1","0",0,"1","13162","6270","6892","2780","8035","2347","12460","61","12","174","6","53","164","232","3554","1598","819","765","276","73","23","1902","1571","294","24","12","1","0","0","5683","257","187","265","203","159","172","190","166","120","357","375","778","633","350","579","892"
